trade_id,symbol,side,strategy,entry_time,entry_price,exit_time,exit_price,exit_type,qty,pnl,pnl_pct,fees,signal_reason
76ca0eff,XRP-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-20T23:30:30.494810+00:00,1.4431212,2026-03-20T23:45:30.362790+00:00,1.4438777,shutdown,6931.928,-9.77,-0.0976,15.01,trend_long|T=B|c=0.52|s=off_hours(0.5)|k=normal|adx=23.5
e83244cf,ETH-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-20T23:30:29.747986+00:00,2147.53323,2026-03-20T23:45:30.397990+00:00,2144.017455,shutdown,4.659,-31.38,-0.3136,15.0,trend_long|T=B|c=0.40|s=off_hours(0.5)|k=normal|adx=22.9
9a49c96b,BTC-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-21T14:00:08.077481+00:00,70785.375,2026-03-21T15:00:25.079246+00:00,70542.5111,be_sl,0.014,-1.9,-0.1921,1.49,trend_long|T=B|c=0.40|s=EU(0.75)|k=normal|adx=21.5
5e99baf0,BTC-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-21T15:45:29.716489+00:00,70570.8969,2026-03-22T00:15:04.050303+00:00,68654.5101,tp2,0.017,29.12,2.427,1.78,trend_short|T=B|c=0.45|s=US(1.0)|k=normal|adx=21.9
4fa35232,ETH-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-21T15:30:29.351471+00:00,2150.42425,2026-03-22T00:15:04.079881+00:00,2070.15456,tp2,0.465,32.74,3.2743,1.47,trend_short|T=B|c=0.55|s=US(1.0)|k=normal|adx=22.2
9a7f68de,XRP-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,C,1,2026-03-21T15:45:28.772397+00:00,1.4362815,2026-03-22T00:15:05.126412+00:00,1.40280105,tp2,765.428,20.89,1.8998,1.63,trend_short|T=C|c=0.30|s=US(1.0)|k=normal|adx=20.6
8f6ab7b4,ETH-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-22T20:31:16.918974+00:00,2063.417775,2026-03-22T22:31:15.066738+00:00,2061.29013,be_sl,0.591,6.29,0.5156,1.82,trend_short|T=B|c=0.50|s=US(1.0)|k=normal|adx=39.0
2d43deae,XRP-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,A,5,2026-03-22T02:45:06.516970+00:00,1.41319305,2026-03-23T11:16:33.757227+00:00,1.4339166,be_sl,713.116,-1.67,-0.1656,1.51,trend_short|T=A|c=0.65|s=off_hours(0.5)|k=normal|adx=40.0
e6943c5d,SOL-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-22T10:45:48.559114+00:00,87.3053255,2026-03-23T11:16:33.787672+00:00,91.355655,be_sl,12.701,-17.36,-1.5658,1.68,trend_short|T=B|c=0.45|s=EU(0.75)|k=normal|adx=30.5
633ee6ea,ETH-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,A,5,2026-03-22T22:46:20.385178+00:00,2054.142415,2026-03-23T11:16:33.865385+00:00,2186.102505,sl,0.567,-76.62,-6.5789,1.8,trend_short|T=A|c=0.67|s=off_hours(0.5)|k=anti_euph(2W)|adx=47.3
bc8a9be2,SOL-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,A,5,2026-03-24T04:46:34.997360+00:00,90.1459045,2026-03-24T08:46:33.871723+00:00,91.851903,sl,11.087,-20.43,-2.0439,1.51,trend_short|T=A|c=0.70|s=off_hours(0.5)|k=normal|adx=22.9
106372d0,BNB-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-24T09:31:34.174677+00:00,635.37753,2026-03-24T09:46:32.984719+00:00,636.70149,shutdown,1.571,0.58,0.0582,1.5,trend_long|T=B|c=0.45|s=EU(0.75)|k=normal|adx=25.8
9c0c269b,BTC-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-24T09:31:34.144775+00:00,71014.98975,2026-03-24T09:46:33.798348+00:00,71144.50995,shutdown,0.014,0.32,0.0322,1.49,trend_long|T=B|c=0.50|s=EU(0.75)|k=normal|adx=25.0
5940cc09,BNB-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-24T16:30:22.741580+00:00,630.32468,2026-03-24T18:17:36.795334+00:00,629.284485,shutdown,1.744,0.17,0.0151,1.65,trend_short|T=B|c=0.40|s=US(1.0)|k=normal|adx=34.3
5dbfb288,ETH-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,C,1,2026-03-24T16:30:20.326032+00:00,2134.55219,2026-03-24T18:17:37.765427+00:00,2111.325135,shutdown,0.468,9.38,0.939,1.49,trend_short|T=C|c=0.30|s=US(1.0)|k=normal|adx=22.2
62f37296,BNB-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-26T00:45:13.034186+00:00,647.58363,2026-03-26T01:00:06.456103+00:00,646.906385,shutdown,1.545,-2.55,-0.2545,1.5,trend_long|T=B|c=0.45|s=off_hours(0.5)|k=normal|adx=20.1
25ac6348,BNB-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,A,5,2026-03-26T19:15:38.061717+00:00,625.18725,2026-03-26T19:15:38.077105+00:00,625.29,shutdown,1.599,-1.66,-0.1664,1.5,trend_short|T=A|c=0.65|s=US(1.0)|k=normal|adx=48.1|4H BEAR (EMA50<200(0.27%) | P<EMA50<200 | ADX=22✓)
825bac3b,BNB-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-26T23:30:08.537151+00:00,627.715985,2026-03-27T01:15:04.330175+00:00,628.8,shutdown,1.592,-3.23,-0.3228,1.5,trend_short|T=B|c=0.50|s=off_hours(0.5)|k=normal|adx=21.4|4H BEAR (EMA50<200(0.33%) | P<EMA50<200 | ADX=23✓ | falling_structure)
5c0a7f89,SOL-USDT,SHORT,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,C,1,2026-03-28T01:46:33.223063+00:00,82.4797395,2026-03-28T06:31:32.591645+00:00,83.0565871,sl,12.118,-8.49,-0.8499,1.5,trend_short|T=C|c=0.25|s=off_hours(0.5)|k=normal|adx=22.2|4H BULL (EMA50>200(1.00%) | P<EMA200 | ADX=34★)
48739e6f,SOL-USDT,LONG,trend_following|adx=20.0|ema=20/50|L=conf+sess+strk+pat,B,3,2026-03-28T15:16:35.340569+00:00,83.4967275,2026-03-28T15:31:29.172120+00:00,83.775,shutdown,13.179,2.01,0.183,1.65,trend_long|T=B|c=0.60|s=US(1.0)|k=normal|adx=21.1|4H BULL (EMA50>200(0.05%) | P<EMA200 | ADX=37★)
