trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_type,outcome,pnl_pct,pnl_r,mae_r,mfe_r,entry_bar_idx,duration_bars,duration_minutes,move_start_bar,lag_bars,lag_minutes,price_at_move_start,lag_price_pct,adx_at_entry,body_ratio,pullback_dist_atr,stoch_k_at_entry,confidence_score,ema8_above_ema13,ema8_cross_recent,macd_hist_dir,sl_mode
1d0522ac,BTC-USDT,SHORT,2026-04-03 18:45:58.609085+00:00,2026-04-04 07:46:31.239676+00:00,66773.49655,66948.4,reversal_swap,sl,-0.4121,-1.4240629257183013,1.2705157311703894,0.17955964607556746,14575,52,780,14569,6,90,66843.0,0.10398014750984216,18.173041298819648,0.6776729559735779,0.4943730481442404,13.363514663828688,,False,False,decreasing,unknown
f4607b65,BTC-USDT,LONG,2026-04-04 07:46:33.005453+00:00,2026-04-04 11:16:32.804607+00:00,66950.55855,0.0,tp2,tp,-31.2237,-220.79068581479956,0.791704940914852,2.612396425198314,14627,14,210,14613,14,210,66831.7,0.17784756335691665,22.16152841961468,0.32653061224456476,1.3043170948429015,64.60770988148545,,True,False,increasing,unknown
f64243cb,BTC-USDT,LONG,2026-04-04 17:16:07.803070+00:00,2026-04-05 01:46:13.693638+00:00,67389.97815,67064.94302372848,sl,sl,-0.632,-2.624056728253908,2.1328508112883564,0.7856795156756943,14665,34,510,14655,10,150,67178.0,0.3155469796659552,31.91415732658699,0.3130434782605002,0.9902519018450869,39.659883874670506,,True,False,decreasing,unknown
30b15e0a,BTC-USDT,SHORT,2026-04-05 14:16:32.943129+00:00,2026-04-05 15:31:36.739017+00:00,66780.7929,67114.16777280741,sl,sl,-0.6496,-2.7381455623456996,6.433116034325144,-0.021505216791099752,14749,5,75,14748,1,15,66849.9,0.1033765196357718,20.09154118649126,0.28421052631548965,0.17187867851248415,69.25924751047098,,False,False,increasing,unknown
828ea0e9,BTC-USDT,LONG,2026-04-06 19:01:33.934479+00:00,2026-04-06 22:46:32.209749+00:00,69818.2917,69188.66233768527,sl,sl,-1.0511,-2.445375547663689,2.2428826218069515,0.38156565609508813,14864,15,225,14861,3,45,69717.7,0.14428430656777905,25.300813875150556,0.9985955056166975,0.656312264999618,49.51267036197303,,True,True,increasing,unknown
75c3454c,BTC-USDT,SHORT,2026-04-07 13:46:19.507202+00:00,2026-04-07 17:46:32.039864+00:00,68249.75805,68885.78196495194,sl,sl,-1.0826,-2.56658019238398,1.5674553074410722,1.5623007624553962,14939,16,240,14938,1,15,68433.5,0.2684970811079311,25.705118029494102,0.7207678883060946,1.0589232757414575,73.17340706795487,,False,False,decreasing,unknown
8d66be2a,BTC-USDT,LONG,2026-04-07 19:31:37.471959+00:00,2026-04-07 20:16:32.615043+00:00,68509.33755,0.0,tp2,tp,-29.0239,-92.26076427493508,0.23820268339466907,4.4351356959227335,14962,3,45,14961,1,15,68456.7,0.07689174324792089,14.513670522761,0.997256515773706,0.4710393062491489,37.43749661901157,,True,False,decreasing,unknown
65c771ef,BTC-USDT,SHORT,2026-04-08 20:46:23.763905+00:00,2026-04-09 08:46:31.997218+00:00,71217.1736,71267.7,trailing_sl,tp,0.3841,1.0159863175252408,1.5927232963839881,2.563776025913585,15063,48,720,15062,1,15,71368.6,0.2121751022158361,14.433818733344724,0.4433249370264037,0.7279693233561649,50.99900203634294,,False,False,decreasing,unknown
8e09e08f,BTC-USDT,LONG,2026-04-09 18:31:32.855731+00:00,2026-04-09 22:31:32.986332+00:00,71895.22965,73100.48678052185,tp2,tp,1.1837,2.3611094341576284,0.32607825366102233,2.044120688500551,15150,16,240,15136,14,210,71050.0,1.1896265306122362,26.3299828173683,0.22551928783346958,0.27208453409824246,19.19675990605845,,True,False,decreasing,unknown
f6bea7a4,DOGE-USDT,LONG,2026-04-03 15:01:03.866360+00:00,2026-04-04 03:31:28.266410+00:00,0.091455705,0.09118,reversal_swap,sl,-0.4512,-1.1426656468790903,1.7603333032334825,2.4763959248632497,14612,50,750,14608,4,60,0.09126,0.21444773175542886,28.2503526231803,0.1666665277778357,0.6391647797375853,80.32342583676332,,True,True,increasing,unknown
853568ff,DOGE-USDT,SHORT,2026-04-04 03:31:29.888869+00:00,2026-04-04 15:16:31.766703+00:00,0.09111442,0.09118,trailing_sl,tp,0.1452,0.6577683484735263,1.8673326802109678,1.861565317973775,14662,47,705,14662,0,0,0.09116,0.05000000000000372,22.781392097596232,0.6666644444515434,0.8537893104463375,88.11442971740284,,False,False,increasing,unknown
b2eb9948,DOGE-USDT,SHORT,2026-04-07 13:31:17.625908+00:00,2026-04-07 17:46:33.126838+00:00,0.090544705,0.0912933127126363,sl,sl,-0.9774,-2.26237706156918,3.2090419540248174,1.1879740150682745,14990,17,255,14976,14,210,0.09081,0.2921429358000206,22.80335780928547,0.19047609977327637,0.05799845082103904,77.68927510957464,,False,False,increasing,unknown
5822ca5d,DOGE-USDT,LONG,2026-04-07 19:16:32.872878+00:00,2026-04-07 20:16:32.522199+00:00,0.09140568,0.0,tp2,tp,-29.5415,-66.3768918378613,0.35810560447204043,2.5425301264243174,15013,4,60,15001,12,180,0.0905,1.0007513812154762,20.404114344667498,0.647058442906779,1.310630262947485,31.113518705947474,,True,False,decreasing,unknown
e82bdccb,DOGE-USDT,SHORT,2026-04-08 17:01:16.856099+00:00,2026-04-09 00:31:29.713603+00:00,0.09345325,0.0920640755212267,tp2,tp,0.9813,2.26815234508998,1.5748709313150742,3.9900440203283427,15100,30,450,15089,11,165,0.09431,0.9084402502385784,24.318314745928134,0.12499984375015195,0.8091556599041745,52.268210750272175,,False,False,increasing,unknown
e85b2262,DOGE-USDT,SHORT,2026-04-09 02:46:28.482826+00:00,2026-04-09 15:46:32.366794+00:00,0.0917541,0.0926588678730929,sl,sl,-1.1368,-2.6872752014061665,2.849170623607448,1.9170520490336815,15139,52,780,15121,18,270,0.09327,1.625281440977807,33.465837030931745,0.0,1.3549901406506764,82.11187111154783,,False,False,increasing,unknown
22ceacaa,ETH-USDT,LONG,2026-04-04 17:31:13.125820+00:00,2026-04-04 19:31:06.645081+00:00,2056.877925,0.0,tp2,tp,-29.7722,-157.83219242292313,0.8267997761379555,6.72488345861476,14854,8,120,14853,1,15,2055.67,0.058760647380158515,9.447119854261468,0.44117647052306136,0.9336200340440941,41.206526195107564,,True,False,decreasing,unknown
c285921d,ETH-USDT,LONG,2026-04-06 16:46:33.788203+00:00,2026-04-06 17:16:32.049669+00:00,2163.44118,2136.6157646101647,sl,sl,-1.389,-2.8372851818346136,3.8655919464725623,-0.13607360123515236,15043,2,30,15036,7,105,2155.15,0.3847147530334182,44.48750730516025,0.3074534161394714,1.1066785096520588,69.08005496547443,,True,False,decreasing,unknown
ca1c246a,ETH-USDT,LONG,2026-04-06 20:31:16.665458+00:00,2026-04-06 22:31:32.347576+00:00,2152.73583,2131.895027722458,sl,sl,-1.1174,-2.507751130132685,2.2785173111023327,-0.1006898559598143,15058,8,120,15057,1,15,2146.23,0.30312827609343174,19.875807711052882,0.37168141589633985,1.1991995315046904,82.25865949014438,,True,True,increasing,unknown
