timestamp,symbol,side,entry_price,exit_price,exit_type,sl,tp,pnl_pct,pnl_usd,equity_after,leverage_used,sl_dist_pct,adx_at_entry,atr_at_entry,htf_bias_at_entry,duration_bars
2026-04-14T18:45:37.008724+00:00,BTC-USDT,LONG,74758.6,74155.37691717134,sl,74155.37691717,75663.43462424,-0.9563,-1.79,98.21,1.86,0.8069,31.6,301.61,1,13
2026-04-16T10:15:02.551193+00:00,BTC-USDT,LONG,74910.7,74396.09226377765,sl,74396.09226378,75682.61160433,-0.8364,-1.82,98.18,2.18,0.687,24.9,257.3,1,28
