trade_id,direction,entry_time,exit_time,entry_price,exit_price,net_pnl_usdt,net_pnl_pct,mfe_usdt,mfe_pct,mae_usdt,mae_pct,outcome,pnl_r,mae_r,mfe_r,duration_bars,duration_hours,adx_at_entry,ema8_above_ema13,ema8_cross_recent,body_ratio,stoch_k_at_entry,pullback_dist_atr,atr_at_entry,htf_bias,bar_in_ohlcv,risk_est_pct,mae_r_norm,mfe_r_norm,pnl_r_norm
11,Long,2026-03-15 21:30:00+00:00,2026-03-16 19:00:00+00:00,72484.7,74870.6,3.357,3.22,3.394,3.26,-0.374,0.36,tp,8.944444444444445,1.0,9.055555555555555,86,21.5,18.750879165953744,True,True,0.7634124890060094,75.10030901752894,2.306253214572908,196.7251961214112,1,True,0.93,1.0,9.055555555555555,8.944444444444445
12,Long,2026-03-16 20:15:00+00:00,2026-03-17 07:00:00+00:00,74575.0,73731.5,-1.291,-1.2,2.008,1.87,-1.254,1.17,sl,-1.0256410256410258,1.0,1.5982905982905984,43,10.8,20.8091046300244,True,False,0.3361531611752646,9.271313958608049,0.18459463971739334,319.15111038257584,1,True,0.93,1.0,1.5982905982905984,-1.0256410256410258
13,Long,2026-03-17 14:00:00+00:00,2026-03-17 21:30:00+00:00,74169.8,73536.2,-0.982,-0.92,0.82,0.77,-0.945,0.89,sl,-1.0337078651685394,1.0,0.8651685393258427,30,7.5,15.890978913493518,False,False,0.26974900924697187,21.63152717663202,0.5894723478846811,283.6260787778336,1,True,0.93,1.0,0.8651685393258427,-1.0337078651685394
14,Short,2026-03-19 03:30:00+00:00,2026-03-22 08:45:00+00:00,70686.4,68128.7,3.736,3.55,3.772,3.58,-1.004,0.95,tp,3.736842105263158,1.0,3.768421052631579,309,77.2,27.10760319896685,True,False,0.7817225509530803,78.9063496167761,0.23938321873830387,219.97105090060887,-1,True,0.93,1.0,3.768421052631579,3.736842105263158
15,Long,2026-03-24 06:15:00+00:00,2026-03-24 10:45:00+00:00,70986.6,70028.7,-1.547,-1.42,0.506,0.46,-1.509,1.38,sl,-1.028985507246377,1.0,0.33333333333333337,18,4.5,15.02735197294486,False,False,0.15414110429441186,53.34503951639059,0.26457844676963,206.42911317579643,1,True,0.93,1.0,0.33333333333333337,-1.028985507246377
16,Long,2026-03-25 06:45:00+00:00,2026-03-25 12:15:00+00:00,71302.4,70700.8,-0.982,-0.91,0.997,0.93,-0.944,0.88,sl,-1.0340909090909092,1.0,1.0568181818181819,22,5.5,40.44324478971164,True,False,0.8522679983350613,48.83521292011079,0.2420973321828878,207.34201847717287,1,True,0.93,1.0,1.0568181818181819,-1.0340909090909092
17,Short,2026-03-28 22:15:00+00:00,2026-03-29 00:15:00+00:00,66519.3,67021.1,-0.878,-0.82,0.242,0.23,-0.841,0.79,sl,-1.0379746835443038,1.0,0.2911392405063291,8,2.0,18.606360503585623,False,True,0.9277426160332836,15.94940838488854,0.3509715710403121,135.65949064357312,-1,True,0.93,1.0,0.2911392405063291,-1.0379746835443038
18,Short,2026-03-29 20:45:00+00:00,2026-03-29 21:15:00+00:00,65981.1,66800.6,-1.386,-1.31,0.314,0.3,-1.349,1.28,sl,-1.0234375,1.0,0.234375,2,0.5,13.743812008607422,True,False,0.1730061349691843,81.7153251761182,0.7485562747778736,147.18227972170163,-1,True,0.93,1.0,0.234375,-1.0234375
19,Short,2026-03-30 13:45:00+00:00,2026-03-30 22:30:00+00:00,67337.7,67937.5,-1.002,-0.96,1.724,1.65,-0.965,0.93,sl,-1.032258064516129,1.0,1.7741935483870965,35,8.8,37.600424155616935,True,False,0.48470672903904805,35.75317469404683,0.5019359028726529,207.29096087105648,-1,True,0.93,1.0,1.7741935483870965,-1.032258064516129
20,Short,2026-03-31 12:45:00+00:00,2026-03-31 13:30:00+00:00,66704.2,67828.6,-1.813,-1.76,0.0,0.0,-1.777,1.72,sl,-1.0232558139534884,1.0,0.0,3,0.8,33.653723739493714,False,True,0.8794596466918024,92.38699591525398,0.4030294814257573,244.25472749997627,-1,True,0.93,1.0,0.0,-1.0232558139534884
