trade_id,symbol,side,strategy,tier,leverage,entry_time,entry_price,exit_time,exit_price,exit_type,qty,pnl,pnl_pct,fees,signal_reason
7afd9eac,BNB-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-03T14:32:08.070002+00:00,587.61366,2026-04-03T14:32:58.963841+00:00,587.41,shutdown,1.703,-1.85,-0.1846,1.5,trend_long|T=C|c=0.35|s=US(1.0)|k=normal|adx=20.5|↓4H!
e72df45a,BTC-USDT,SHORT,trend_v2|adx=20.0|ema=20/50|rev=on,A,5,2026-04-03T14:45:58.982807+00:00,66770.1982,2026-04-03T15:01:02.265332+00:00,66898.5,reversal_swap,0.013,-2.97,-0.3423,1.3,trend_short|T=A|c=0.75|s=US(1.0)|k=normal|adx=21.4|↓4H
41ff5b6a,BTC-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-03T15:01:03.901654+00:00,66935.35095,2026-04-03T18:45:56.916464+00:00,66823.2,reversal_swap,0.015,-3.19,-0.3174,1.5,trend_long|T=C|c=0.20|s=US(1.0)|k=normal|adx=22.4|↓4H!
3d1d7e0f,BNB-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-03T14:33:31.355827+00:00,587.59365,2026-04-04T02:01:27.582989+00:00,587.3,reversal_swap,1.703,-2.0,-0.1999,1.5,trend_long|T=C|c=0.35|s=US(1.0)|k=normal|adx=20.5|↓4H!
74f65069,BNB-USDT,SHORT,trend_v2|adx=20.0|ema=20/50|rev=on,B,3,2026-04-04T02:01:28.308807+00:00,586.896405,2026-04-04T03:16:30.178119+00:00,588.5291210776998,sl,1.477,-3.71,-0.4284,1.3,trend_short|T=B|c=0.60|s=off_hours(0.5)|k=normal|adx=22.5|↓4H
f6bea7a4,DOGE-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,B,3,2026-04-03T15:01:03.866360+00:00,0.091455705,2026-04-04T03:31:28.266410+00:00,0.09118,reversal_swap,10790.702,-4.45,-0.4512,1.48,trend_long|T=B|c=0.45|s=US(1.0)|k=normal|adx=30.0|↓4H!
1d0522ac,BTC-USDT,SHORT,trend_v2|adx=20.0|ema=20/50|rev=on,A,5,2026-04-03T18:45:58.609085+00:00,66773.49655,2026-04-04T07:46:31.239676+00:00,66948.4,reversal_swap,0.012,-3.3,-0.4121,1.2,trend_short|T=A|c=0.65|s=US(1.0)|k=normal|adx=20.3|↓4H
f4607b65,BTC-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T07:46:33.005453+00:00,66950.55855,2026-04-04T11:16:32.804607+00:00,0.0,tp2,0.016,-334.47,-31.2237,0.8,trend_long|T=C|c=0.02|s=off_hours(0.5)|k=normal|adx=21.2|↓4H!
853568ff,DOGE-USDT,SHORT,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T03:31:29.888869+00:00,0.09111442,2026-04-04T15:16:31.766703+00:00,0.09118,trailing_sl,10463.466,1.38,0.1452,0.93,trend_short|T=C|c=0.35|s=off_hours(0.5)|k=normal|adx=26.0|↓4H
35f81cca,BNB-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T08:01:28.238491+00:00,590.425065,2026-04-04T16:46:21.666813+00:00,0.0,tp2,1.595,-282.77,-30.027,0.71,trend_long|T=C|c=0.10|s=off_hours(0.5)|k=normal|adx=26.4|↓4H!
4e84cb9a,XRP-USDT,SHORT,trend_v2|adx=20.0|ema=20/50|rev=on,B,3,2026-04-04T11:46:33.120116+00:00,1.3099447,2026-04-04T17:16:08.033209+00:00,1.3127,reversal_swap,646.428,-3.05,-0.3605,1.27,trend_short|T=B|c=0.55|s=EU(0.75)|k=normal|adx=27.7|↓4H
22ceacaa,ETH-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T17:31:13.125820+00:00,2056.877925,2026-04-04T19:31:06.645081+00:00,0.0,tp2,0.367,-224.74,-29.7722,0.57,trend_long|T=C|c=0.00|s=US(1.0)|k=normal|adx=20.1|↓4H!
76dc37df,XRP-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T17:16:08.753942+00:00,1.31355645,2026-04-04T19:31:06.751153+00:00,0.0,tp2,637.927,-251.3,-29.9894,0.63,trend_long|T=C|c=0.12|s=US(1.0)|k=normal|adx=22.5|↓4H!
1d60dbe9,XRP-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T20:01:13.998928+00:00,1.3174584,2026-04-05T01:01:05.826395+00:00,1.3119790518120438,sl,514.888,-3.84,-0.5656,1.02,trend_long|T=C|c=0.02|s=US(1.0)|k=normal|adx=22.1|↓4H!
f64243cb,BTC-USDT,LONG,trend_v2|adx=20.0|ema=20/50|rev=on,C,1,2026-04-04T17:16:07.803070+00:00,67389.97815,2026-04-05T01:46:13.693638+00:00,67064.94302372848,sl,0.014,-5.96,-0.632,1.41,trend_long|T=C|c=0.25|s=US(1.0)|k=normal|adx=31.8|↓4H!
